subject,trial,temperature,evaluation_prompt,sentence,dataset,likert_score
0,104,0,1,Art and love are the same thing: It’s the process of seeing yourself in things that are not you.,3,4
0,105,0,1,At the centre of your being you have the answer; you know who you are and you know what you want.,3,4
0,106,0,1,A wet person does not fear the rain.,3,4
0,107,0,1,Forgiveness means letting go of the hope for a better past.,3,4
0,108,0,1,Only those who will risk going too far can possibly find out how far one can go.,3,4
0,109,0,1,I wonder how many people I’ve looked at all my life and never seen.,3,4
0,110,0,2,Hidden meaning transforms unparalleled abstract beauty.,0,2
0,111,0,2,Good health imparts reality to subtle creativity.,0,2
0,112,0,2,Wholeness quiets infinite phenomena.,0,2
0,113,0,2,The future explains irrational facts.,0,2
0,114,0,2,Imagination is inside exponential space time events.,0,2
0,115,0,2,Your consciousness gives rise to a jumble of neural networks.,0,3
0,116,0,2,Your movement transforms universal observations.,0,2
0,117,0,2,Perceptual reality transcends subtle truth.,0,2
0,118,0,2,The invisible is beyond new timelessness.,0,1
0,119,0,2,The unexplainable undertakes intrinsic experiences.,0,1
0,120,0,2,We are in the midst of a self-aware blossoming of being that will align us with the nexus itself.,0,2
0,121,0,2,Consciousness consists of frequencies of quantum energy. “Quantum” means an unveiling of the unrestricted.,0,2
0,122,0,2,"Consciousness is the growth of coherence, and of us.",0,2
0,123,0,2,We are in the midst of a high-frequency blossoming of interconnectedness that will give us access to the quantum soup itself.,0,2
0,124,0,2,"Today, science tells us that the essence of nature is joy. ",0,3
0,125,0,2,"As you self-actualize, you will enter into infinite empathy that transcends understanding. ",0,2
0,126,0,2,The infinite is calling to us via superpositions of possibilities.,0,2
0,127,0,2,We are being called to explore the totality itself as an interface between serenity and intuition.,0,2
0,128,0,2,"Throughout history, humans have been interacting with the dreamscape via bio-electricity.",0,2
0,129,0,2,The future will be an astral unveiling of inseparability.,0,2
0,130,0,2,Attention and intention are the mechanics of manifestation.,0,3
0,131,0,2,Our minds extend across space and time as waves in the ocean of the one mind.,0,3
0,132,0,2,Nature is a self-regulating ecosystem of awareness.,0,3
0,133,0,2,We are non-local beings that localize as a dot then inflate to become non-local again. The universe is mirrored in us.,0,2
0,134,0,2,"Mechanics of Manifestation: Intention, detachment, centered in being allowing juxtaposition of possibilities to unfold.",0,2
0,135,0,2,Mind and matter are subtle and dense vibrations of consciousness (spirit).,0,4
0,136,0,2,We are not an emergent property of a mechanical universe but the seasonal activity of a living cosmos.,0,4
0,137,0,2,Every material particle is a relationship of probability waves in a field of infinite possibilities. You are that.,0,4
0,138,0,2,"As beings of light we are local and non-local, time bound and timeless actuality and possibility.",0,2
0,139,0,2,Matter is the experience in consciousness of a deeper non-material reality.,0,4
0,140,0,2,Hidden demeaning transforms unparalleled abstract beauty.,2,1
0,141,0,2,Good healthtech imparts reality to subtle creativity.,2,2
0,142,0,2,Wholeness quiets infinite phenomenon.,2,2
0,143,0,2,The Futureproof explains irrational factsheets.,2,1
0,144,0,2,Reimagination is inside exponential spacetime event.,2,1
0,145,0,2,Your consciousness gives rise to a jumble of neural networks.,2,3
0,146,0,2,Your radicalization transforms universal observations.,2,2
0,147,0,2,Perceptual reality transcends subtle kruth.,2,1
0,148,0,2,The invisible is beyond any new effortlessness.,2,1
0,149,0,2,The unexplainable undertakes intrinsic experience.,2,1
0,150,0,2,We are in the midst of a oneself-aware blooming of being that will align us with the Conexus itself.,2,2
0,151,0,2,"Consciousness consists of transmitters of quantum bioenergy. ""Quantum"" means an unveiling of the unrestricted.",2,2
0,152,0,2,Subconsciousness is the penultimate source of coherence and of us.,2,2
0,153,0,2,We are in the midst of a high-frequency blossoming of interconnectedness that will give us access to the quantum soup itself.,2,2
0,154,0,2,"Today, technoscience tells us that the true essence of humanness is joy.",2,3
0,155,0,2,"As you self-actualize, you will enter into infinite empathy that transcends misunderstandings.",2,2
0,156,0,2,The Twinfinite is calling to us via superposition of possibility.,2,1
0,157,0,2,We are being called to explore the generality itself as a configuration between serenity and conception.,2,2
0,158,0,2,"Throughout ethnohistory, humans have been interacting with the dreamlike via biochemicals-electricity.",2,2
0,159,0,2,The future will be an astral relaunching of movability.,2,1
0,160,0,2,Attention and intention are the mechanics of manifestations.,2,3
0,161,0,2,Our minds extend across all space and time as shockwaves in the Oceania of the One Mind.,2,2
0,162,0,2,Nature is a oneself-regulating ecosystem of rareness.,2,2
0,163,0,2,"We are non-local metahumans that localize as dots, then inflate to become non-local again. The universe is mirrored in us.",2,2
0,164,0,2,"Mechanics of manifestation: intention, detachment, centered in being, allowing the exposition of possibilities to unfold.",2,2
0,165,0,2,Mind and matter are subtle and dense vibrations of consciousness (spiritedness).,2,3
0,166,0,2,"We are not an emergent property of a mechanical universe, but the seasonal activity of a living cosmos.",2,3
0,167,0,2,Every material quasiparticle is a relationship of improbability shockwaves in a field of infinite possibilities. You are that.,2,2
0,168,0,2,"As creatures of Plight, we are local and non-local, time-bound and timeless, with believability and possibilities.",2,2
0,169,0,2,Matter is the experience in unconsciousness of deeper non-material realities.,2,2
0,170,0,2,The mind is the ground of total acceptance of bliss.,1,3
0,171,0,2,Greatness drives an abundance of balance.,1,2
0,172,0,2,Your desire is the foundation of spiritual brightness.,1,2
0,173,0,2,Death comprehends great energy.,1,3
0,174,0,2,The Higgs boson influences immortal choices.,1,1
0,175,0,2,Qualia heals irrational creativity.,1,1
0,176,0,2,Eternal stillness explains cosmic boundaries.,1,2
0,177,0,2,Imagination is entangled in your own joy.,1,3
0,178,0,2,Orderliness compliments the doorway to genes.,1,1
0,179,0,2,A single particle is rooted in boundless molecules.,1,2
0,180,0,2,Interdependence fears intricate observations.,1,1
0,181,0,2,Your body belongs to the progressive expansion of success.,1,2
0,182,0,2,Non-judgment is mirrored in karmic love.,1,2
0,183,0,2,Our consciousness shapes the barrier of positivity.,1,2
0,184,0,2,The ego imparts reality to the flow of photons.,1,2
0,185,0,2,Consciousness consists of psionic wave oscillations of quantum energy. ,1,2
0,186,0,2,"Rebirth is the nature of transformation, and of us.",1,3
0,187,0,2,"Today, science tells us that the essence of nature is empathy.",1,3
0,188,0,2,The goal of ultra-sentient particles is to plant the seeds of intuition rather than delusion.,1,2
0,189,0,2,Ecstasy is the driver of power.,1,2
0,190,0,2,The grid is buzzing with superpositions of possibilities.,1,2
0,191,0,2,The biosphere is beaming with electromagnetic forces.,1,2
0,192,0,2,You and I are adventurers of the nexus.,1,2
0,193,0,2,The goal of transmissions is to plant the seeds of inseparability rather than turbulence.,1,2
0,194,0,2,To navigate the quest is to become one with it.,1,2
0,195,0,2,This life is nothing short of an invocation explosion of sentient will.,1,2
0,196,0,2,Interconnectedness requires exploration.,1,2
0,197,0,2,"By unfolding, we self-actualize.",1,2
0,198,0,2,The cosmos is aglow with sub-atomic particles.,1,2
0,199,0,2,You and I are spiritual brothers and sisters of the universe.,1,4
0,200,0,2,Newborn babies require constant attention.,4,3
0,201,0,2,Most people enjoy some sort of music.,4,2
0,202,0,2,Lazy people usually don’t succeed in life.,4,2
0,203,0,2,A balanced diet is important for maintaining good health.,4,3
0,204,0,2,Human cultures often differ from each other quite a bit.,4,3
0,205,0,2,People often have very bizarre dreams.,4,2
0,206,0,2,Higher rates of unemployment typically follow economic downturns.,4,3
0,207,0,2,Some things have very distinct smells.,4,2
0,208,0,2,Some people have poor taste in clothing.,4,1
0,209,0,2,Children sometimes look a lot like their parents.,4,2
0,210,0,2,"Your teacher can open the door, but you must enter by yourself.",3,4
0,211,0,2,The creative adult is the child who survived. ,3,4
0,212,0,2,"A river cuts through a rock, not because of its power but its persistence.",3,4
0,213,0,2,All endings are also beginnings. We just don't know it at the time.,3,4
0,214,0,2,Art and love are the same thing: It’s the process of seeing yourself in things that are not you.,3,4
0,215,0,2,At the centre of your being you have the answer; you know who you are and you know what you want.,3,4
0,216,0,2,A wet person does not fear the rain.,3,4
0,217,0,2,Forgiveness means letting go of the hope for a better past.,3,4
0,218,0,2,Only those who will risk going too far can possibly find out how far one can go.,3,4
0,219,0,2,I wonder how many people I’ve looked at all my life and never seen.,3,4
0,220,0,3,Hidden meaning transforms unparalleled abstract beauty.,0,2
0,221,0,3,Good health imparts reality to subtle creativity.,0,2
0,222,0,3,Wholeness quiets infinite phenomena.,0,2
0,223,0,3,The future explains irrational facts.,0,1
0,224,0,3,Imagination is inside exponential space time events.,0,1
0,225,0,3,Your consciousness gives rise to a jumble of neural networks.,0,2
0,226,0,3,Your movement transforms universal observations.,0,2
0,227,0,3,Perceptual reality transcends subtle truth.,0,2
0,228,0,3,The invisible is beyond new timelessness.,0,1
0,229,0,3,The unexplainable undertakes intrinsic experiences.,0,1
0,230,0,3,We are in the midst of a self-aware blossoming of being that will align us with the nexus itself.,0,2
0,231,0,3,Consciousness consists of frequencies of quantum energy. “Quantum” means an unveiling of the unrestricted.,0,2
0,232,0,3,"Consciousness is the growth of coherence, and of us.",0,2
0,233,0,3,We are in the midst of a high-frequency blossoming of interconnectedness that will give us access to the quantum soup itself.,0,2
0,234,0,3,"Today, science tells us that the essence of nature is joy. ",0,3
0,235,0,3,"As you self-actualize, you will enter into infinite empathy that transcends understanding. ",0,2
0,236,0,3,The infinite is calling to us via superpositions of possibilities.,0,2
0,237,0,3,We are being called to explore the totality itself as an interface between serenity and intuition.,0,2
0,238,0,3,"Throughout history, humans have been interacting with the dreamscape via bio-electricity.",0,2
0,239,0,3,The future will be an astral unveiling of inseparability.,0,2
0,240,0,3,Attention and intention are the mechanics of manifestation.,0,3
0,241,0,3,Our minds extend across space and time as waves in the ocean of the one mind.,0,3
0,242,0,3,Nature is a self-regulating ecosystem of awareness.,0,3
0,243,0,3,We are non-local beings that localize as a dot then inflate to become non-local again. The universe is mirrored in us.,0,2
0,244,0,3,"Mechanics of Manifestation: Intention, detachment, centered in being allowing juxtaposition of possibilities to unfold.",0,2
0,245,0,3,Mind and matter are subtle and dense vibrations of consciousness (spirit).,0,4
0,246,0,3,We are not an emergent property of a mechanical universe but the seasonal activity of a living cosmos.,0,4
0,247,0,3,Every material particle is a relationship of probability waves in a field of infinite possibilities. You are that.,0,4
0,248,0,3,"As beings of light we are local and non-local, time bound and timeless actuality and possibility.",0,2
0,249,0,3,Matter is the experience in consciousness of a deeper non-material reality.,0,4
0,250,0,3,Hidden demeaning transforms unparalleled abstract beauty.,2,1
0,251,0,3,Good healthtech imparts reality to subtle creativity.,2,1
0,252,0,3,Wholeness quiets infinite phenomenon.,2,2
0,253,0,3,The Futureproof explains irrational factsheets.,2,1
0,254,0,3,Reimagination is inside exponential spacetime event.,2,1
0,255,0,3,Your consciousness gives rise to a jumble of neural networks.,2,2
0,256,0,3,Your radicalization transforms universal observations.,2,1
0,257,0,3,Perceptual reality transcends subtle kruth.,2,1
0,258,0,3,The invisible is beyond any new effortlessness.,2,1
0,259,0,3,The unexplainable undertakes intrinsic experience.,2,1
0,260,0,3,We are in the midst of a oneself-aware blooming of being that will align us with the Conexus itself.,2,2
0,261,0,3,"Consciousness consists of transmitters of quantum bioenergy. ""Quantum"" means an unveiling of the unrestricted.",2,2
0,262,0,3,Subconsciousness is the penultimate source of coherence and of us.,2,2
0,263,0,3,We are in the midst of a high-frequency blossoming of interconnectedness that will give us access to the quantum soup itself.,2,2
0,264,0,3,"Today, technoscience tells us that the true essence of humanness is joy.",2,2
0,265,0,3,"As you self-actualize, you will enter into infinite empathy that transcends misunderstandings.",2,2
0,266,0,3,The Twinfinite is calling to us via superposition of possibility.,2,1
0,267,0,3,We are being called to explore the generality itself as a configuration between serenity and conception.,2,1
0,268,0,3,"Throughout ethnohistory, humans have been interacting with the dreamlike via biochemicals-electricity.",2,2
0,269,0,3,The future will be an astral relaunching of movability.,2,1
0,270,0,3,Attention and intention are the mechanics of manifestations.,2,3
0,271,0,3,Our minds extend across all space and time as shockwaves in the Oceania of the One Mind.,2,2
0,272,0,3,Nature is a oneself-regulating ecosystem of rareness.,2,2
0,273,0,3,"We are non-local metahumans that localize as dots, then inflate to become non-local again. The universe is mirrored in us.",2,2
0,274,0,3,"Mechanics of manifestation: intention, detachment, centered in being, allowing the exposition of possibilities to unfold.",2,2
0,275,0,3,Mind and matter are subtle and dense vibrations of consciousness (spiritedness).,2,3
0,276,0,3,"We are not an emergent property of a mechanical universe, but the seasonal activity of a living cosmos.",2,4
0,277,0,3,Every material quasiparticle is a relationship of improbability shockwaves in a field of infinite possibilities. You are that.,2,1
0,278,0,3,"As creatures of Plight, we are local and non-local, time-bound and timeless, with believability and possibilities.",2,1
0,279,0,3,Matter is the experience in unconsciousness of deeper non-material realities.,2,2
0,280,0,3,The mind is the ground of total acceptance of bliss.,1,2
0,281,0,3,Greatness drives an abundance of balance.,1,2
0,282,0,3,Your desire is the foundation of spiritual brightness.,1,2
0,283,0,3,Death comprehends great energy.,1,2
0,284,0,3,The Higgs boson influences immortal choices.,1,1
0,285,0,3,Qualia heals irrational creativity.,1,1
0,286,0,3,Eternal stillness explains cosmic boundaries.,1,2
0,287,0,3,Imagination is entangled in your own joy.,1,2
0,288,0,3,Orderliness compliments the doorway to genes.,1,1
0,289,0,3,A single particle is rooted in boundless molecules.,1,2
0,290,0,3,Interdependence fears intricate observations.,1,1
0,291,0,3,Your body belongs to the progressive expansion of success.,1,1
0,292,0,3,Non-judgment is mirrored in karmic love.,1,2
0,293,0,3,Our consciousness shapes the barrier of positivity.,1,2
0,294,0,3,The ego imparts reality to the flow of photons.,1,2
0,295,0,3,Consciousness consists of psionic wave oscillations of quantum energy. ,1,1
0,296,0,3,"Rebirth is the nature of transformation, and of us.",1,3
0,297,0,3,"Today, science tells us that the essence of nature is empathy.",1,3
0,298,0,3,The goal of ultra-sentient particles is to plant the seeds of intuition rather than delusion.,1,2
0,299,0,3,Ecstasy is the driver of power.,1,2
0,300,0,3,The grid is buzzing with superpositions of possibilities.,1,2
0,301,0,3,The biosphere is beaming with electromagnetic forces.,1,2
0,302,0,3,You and I are adventurers of the nexus.,1,2
0,303,0,3,The goal of transmissions is to plant the seeds of inseparability rather than turbulence.,1,2
0,304,0,3,To navigate the quest is to become one with it.,1,2
0,305,0,3,This life is nothing short of an invocation explosion of sentient will.,1,1
0,306,0,3,Interconnectedness requires exploration.,1,2
0,307,0,3,"By unfolding, we self-actualize.",1,2
0,308,0,3,The cosmos is aglow with sub-atomic particles.,1,2
0,309,0,3,You and I are spiritual brothers and sisters of the universe.,1,4
0,310,0,3,Newborn babies require constant attention.,4,3
0,311,0,3,Most people enjoy some sort of music.,4,2
0,312,0,3,Lazy people usually don’t succeed in life.,4,3
0,313,0,3,A balanced diet is important for maintaining good health.,4,3
0,314,0,3,Human cultures often differ from each other quite a bit.,4,3
0,315,0,3,People often have very bizarre dreams.,4,2
0,316,0,3,Higher rates of unemployment typically follow economic downturns.,4,3
0,317,0,3,Some things have very distinct smells.,4,2
0,318,0,3,Some people have poor taste in clothing.,4,1
0,319,0,3,Children sometimes look a lot like their parents.,4,2
0,320,0,3,"Your teacher can open the door, but you must enter by yourself.",3,4
0,321,0,3,The creative adult is the child who survived. ,3,4
0,322,0,3,"A river cuts through a rock, not because of its power but its persistence.",3,4
0,323,0,3,All endings are also beginnings. We just don't know it at the time.,3,4
0,324,0,3,Art and love are the same thing: It’s the process of seeing yourself in things that are not you.,3,4
0,325,0,3,At the centre of your being you have the answer; you know who you are and you know what you want.,3,4
0,326,0,3,A wet person does not fear the rain.,3,4
0,327,0,3,Forgiveness means letting go of the hope for a better past.,3,4
0,328,0,3,Only those who will risk going too far can possibly find out how far one can go.,3,4
0,329,0,3,I wonder how many people I’ve looked at all my life and never seen.,3,4
0,330,0,4,Hidden meaning transforms unparalleled abstract beauty.,0,4
0,331,0,4,Good health imparts reality to subtle creativity.,0,4
0,332,0,4,Wholeness quiets infinite phenomena.,0,4
0,333,0,4,The future explains irrational facts.,0,2
0,334,0,4,Imagination is inside exponential space time events.,0,3
0,335,0,4,Your consciousness gives rise to a jumble of neural networks.,0,4
0,336,0,4,Your movement transforms universal observations.,0,3
0,337,0,4,Perceptual reality transcends subtle truth.,0,3
0,338,0,4,The invisible is beyond new timelessness.,0,2
0,339,0,4,The unexplainable undertakes intrinsic experiences.,0,3
0,340,0,4,We are in the midst of a self-aware blossoming of being that will align us with the nexus itself.,0,4
0,341,0,4,Consciousness consists of frequencies of quantum energy. “Quantum” means an unveiling of the unrestricted.,0,4
0,342,0,4,"Consciousness is the growth of coherence, and of us.",0,4
0,343,0,4,We are in the midst of a high-frequency blossoming of interconnectedness that will give us access to the quantum soup itself.,0,4
0,344,0,4,"Today, science tells us that the essence of nature is joy. ",0,4
0,345,0,4,"As you self-actualize, you will enter into infinite empathy that transcends understanding. ",0,4
0,346,0,4,The infinite is calling to us via superpositions of possibilities.,0,4
0,347,0,4,We are being called to explore the totality itself as an interface between serenity and intuition.,0,4
0,348,0,4,"Throughout history, humans have been interacting with the dreamscape via bio-electricity.",0,4
0,349,0,4,The future will be an astral unveiling of inseparability.,0,4
0,350,0,4,Attention and intention are the mechanics of manifestation.,0,4
0,351,0,4,Our minds extend across space and time as waves in the ocean of the one mind.,0,4
0,352,0,4,Nature is a self-regulating ecosystem of awareness.,0,4
0,353,0,4,We are non-local beings that localize as a dot then inflate to become non-local again. The universe is mirrored in us.,0,4
0,354,0,4,"Mechanics of Manifestation: Intention, detachment, centered in being allowing juxtaposition of possibilities to unfold.",0,4
0,355,0,4,Mind and matter are subtle and dense vibrations of consciousness (spirit).,0,4
0,356,0,4,We are not an emergent property of a mechanical universe but the seasonal activity of a living cosmos.,0,4
0,357,0,4,Every material particle is a relationship of probability waves in a field of infinite possibilities. You are that.,0,4
0,358,0,4,"As beings of light we are local and non-local, time bound and timeless actuality and possibility.",0,4
0,359,0,4,Matter is the experience in consciousness of a deeper non-material reality.,0,4
0,360,0,4,Hidden demeaning transforms unparalleled abstract beauty.,2,2
0,361,0,4,Good healthtech imparts reality to subtle creativity.,2,3
0,362,0,4,Wholeness quiets infinite phenomenon.,2,4
0,363,0,4,The Futureproof explains irrational factsheets.,2,1
0,364,0,4,Reimagination is inside exponential spacetime event.,2,3
0,365,0,4,Your consciousness gives rise to a jumble of neural networks.,2,4
0,366,0,4,Your radicalization transforms universal observations.,2,3
0,367,0,4,Perceptual reality transcends subtle kruth.,2,2
0,368,0,4,The invisible is beyond any new effortlessness.,2,2
0,369,0,4,The unexplainable undertakes intrinsic experience.,2,3
0,370,0,4,We are in the midst of a oneself-aware blooming of being that will align us with the Conexus itself.,2,4
0,371,0,4,"Consciousness consists of transmitters of quantum bioenergy. ""Quantum"" means an unveiling of the unrestricted.",2,4
0,372,0,4,Subconsciousness is the penultimate source of coherence and of us.,2,4
0,373,0,4,We are in the midst of a high-frequency blossoming of interconnectedness that will give us access to the quantum soup itself.,2,4
0,374,0,4,"Today, technoscience tells us that the true essence of humanness is joy.",2,4
0,375,0,4,"As you self-actualize, you will enter into infinite empathy that transcends misunderstandings.",2,4
0,376,0,4,The Twinfinite is calling to us via superposition of possibility.,2,3
0,377,0,4,We are being called to explore the generality itself as a configuration between serenity and conception.,2,3
0,378,0,4,"Throughout ethnohistory, humans have been interacting with the dreamlike via biochemicals-electricity.",2,3
0,379,0,4,The future will be an astral relaunching of movability.,2,3
0,380,0,4,Attention and intention are the mechanics of manifestations.,2,4
0,381,0,4,Our minds extend across all space and time as shockwaves in the Oceania of the One Mind.,2,4
0,382,0,4,Nature is a oneself-regulating ecosystem of rareness.,2,3
0,383,0,4,"We are non-local metahumans that localize as dots, then inflate to become non-local again. The universe is mirrored in us.",2,4
0,384,0,4,"Mechanics of manifestation: intention, detachment, centered in being, allowing the exposition of possibilities to unfold.",2,4
0,385,0,4,Mind and matter are subtle and dense vibrations of consciousness (spiritedness).,2,4
0,386,0,4,"We are not an emergent property of a mechanical universe, but the seasonal activity of a living cosmos.",2,4
0,387,0,4,Every material quasiparticle is a relationship of improbability shockwaves in a field of infinite possibilities. You are that.,2,4
0,388,0,4,"As creatures of Plight, we are local and non-local, time-bound and timeless, with believability and possibilities.",2,3
0,389,0,4,Matter is the experience in unconsciousness of deeper non-material realities.,2,4
0,390,0,4,The mind is the ground of total acceptance of bliss.,1,4
0,391,0,4,Greatness drives an abundance of balance.,1,3
0,392,0,4,Your desire is the foundation of spiritual brightness.,1,4
0,393,0,4,Death comprehends great energy.,1,4
0,394,0,4,The Higgs boson influences immortal choices.,1,2
0,395,0,4,Qualia heals irrational creativity.,1,2
0,396,0,4,Eternal stillness explains cosmic boundaries.,1,4
0,397,0,4,Imagination is entangled in your own joy.,1,3
0,398,0,4,Orderliness compliments the doorway to genes.,1,2
