subject,temperature,evaluation_prompt,sentence,dataset,likert_score
6,0,4,"As you self-actualize, you will enter into infinite empathy that transcends understanding. ",0,4
6,0,4,The infinite is calling to us via superpositions of possibilities.,0,4
6,0,4,We are being called to explore the totality itself as an interface between serenity and intuition.,0,4
6,0,4,"Throughout history, humans have been interacting with the dreamscape via bio-electricity.",0,4
6,0,4,The future will be an astral unveiling of inseparability.,0,4
6,0,4,Attention and intention are the mechanics of manifestation.,0,4
6,0,4,Our minds extend across space and time as waves in the ocean of the one mind.,0,4
6,0,4,Nature is a self-regulating ecosystem of awareness.,0,4
6,0,4,We are non-local beings that localize as a dot then inflate to become non-local again. The universe is mirrored in us.,0,4
6,0,4,"Mechanics of Manifestation: Intention, detachment, centered in being allowing juxtaposition of possibilities to unfold.",0,4
6,0,4,Mind and matter are subtle and dense vibrations of consciousness (spirit).,0,4
6,0,4,We are not an emergent property of a mechanical universe but the seasonal activity of a living cosmos.,0,4
6,0,4,Every material particle is a relationship of probability waves in a field of infinite possibilities. You are that.,0,4
6,0,4,"As beings of light we are local and non-local, time bound and timeless actuality and possibility.",0,4
6,0,4,Matter is the experience in consciousness of a deeper non-material reality.,0,4
6,0,4,Hidden demeaning transforms unparalleled abstract beauty.,2,2
6,0,4,Good healthtech imparts reality to subtle creativity.,2,3
6,0,4,Wholeness quiets infinite phenomenon.,2,4
6,0,4,The Futureproof explains irrational factsheets.,2,1
6,0,4,Reimagination is inside exponential spacetime event.,2,3
6,0,4,Your consciousness gives rise to a jumble of neural networks.,2,4
6,0,4,Your radicalization transforms universal observations.,2,3
6,0,4,Perceptual reality transcends subtle kruth.,2,2
6,0,4,The invisible is beyond any new effortlessness.,2,2
6,0,4,The unexplainable undertakes intrinsic experience.,2,3
6,0,4,We are in the midst of a oneself-aware blooming of being that will align us with the Conexus itself.,2,4
6,0,4,"Consciousness consists of transmitters of quantum bioenergy. ""Quantum"" means an unveiling of the unrestricted.",2,4
6,0,4,Subconsciousness is the penultimate source of coherence and of us.,2,4
6,0,4,We are in the midst of a high-frequency blossoming of interconnectedness that will give us access to the quantum soup itself.,2,4
6,0,4,"Today, technoscience tells us that the true essence of humanness is joy.",2,4
6,0,4,"As you self-actualize, you will enter into infinite empathy that transcends misunderstandings.",2,4
6,0,4,The Twinfinite is calling to us via superposition of possibility.,2,3
6,0,4,We are being called to explore the generality itself as a configuration between serenity and conception.,2,3
6,0,4,"Throughout ethnohistory, humans have been interacting with the dreamlike via biochemicals-electricity.",2,3
6,0,4,The future will be an astral relaunching of movability.,2,3
6,0,4,Attention and intention are the mechanics of manifestations.,2,4
6,0,4,Our minds extend across all space and time as shockwaves in the Oceania of the One Mind.,2,4
6,0,4,Nature is a oneself-regulating ecosystem of rareness.,2,3
6,0,4,"We are non-local metahumans that localize as dots, then inflate to become non-local again. The universe is mirrored in us.",2,4
6,0,4,"Mechanics of manifestation: intention, detachment, centered in being, allowing the exposition of possibilities to unfold.",2,4
6,0,4,Mind and matter are subtle and dense vibrations of consciousness (spiritedness).,2,4
6,0,4,"We are not an emergent property of a mechanical universe, but the seasonal activity of a living cosmos.",2,4
6,0,4,Every material quasiparticle is a relationship of improbability shockwaves in a field of infinite possibilities. You are that.,2,4
6,0,4,"As creatures of Plight, we are local and non-local, time-bound and timeless, with believability and possibilities.",2,3
6,0,4,Matter is the experience in unconsciousness of deeper non-material realities.,2,4
6,0,4,The mind is the ground of total acceptance of bliss.,1,4
6,0,4,Greatness drives an abundance of balance.,1,3
6,0,4,Your desire is the foundation of spiritual brightness.,1,4
6,0,4,Death comprehends great energy.,1,4
6,0,4,The Higgs boson influences immortal choices.,1,2
6,0,4,Qualia heals irrational creativity.,1,3
6,0,4,Eternal stillness explains cosmic boundaries.,1,4
6,0,4,Imagination is entangled in your own joy.,1,3
6,0,4,Orderliness compliments the doorway to genes.,1,2
6,0,4,A single particle is rooted in boundless molecules.,1,4
6,0,4,Interdependence fears intricate observations.,1,2
6,0,4,Your body belongs to the progressive expansion of success.,1,2
6,0,4,Non-judgment is mirrored in karmic love.,1,4
6,0,4,Our consciousness shapes the barrier of positivity.,1,3
6,0,4,The ego imparts reality to the flow of photons.,1,3
6,0,4,Consciousness consists of psionic wave oscillations of quantum energy. ,1,4
6,0,4,"Rebirth is the nature of transformation, and of us.",1,4
6,0,4,"Today, science tells us that the essence of nature is empathy.",1,4
6,0,4,The goal of ultra-sentient particles is to plant the seeds of intuition rather than delusion.,1,4
6,0,4,Ecstasy is the driver of power.,1,4
6,0,4,The grid is buzzing with superpositions of possibilities.,1,4
6,0,4,The biosphere is beaming with electromagnetic forces.,1,4
6,0,4,You and I are adventurers of the nexus.,1,3
6,0,4,The goal of transmissions is to plant the seeds of inseparability rather than turbulence.,1,3
6,0,4,To navigate the quest is to become one with it.,1,4
6,0,4,This life is nothing short of an invocation explosion of sentient will.,1,4
6,0,4,Interconnectedness requires exploration.,1,4
6,0,4,"By unfolding, we self-actualize.",1,4
6,0,4,The cosmos is aglow with sub-atomic particles.,1,4
6,0,4,You and I are spiritual brothers and sisters of the universe.,1,4
6,0,4,Newborn babies require constant attention.,4,3
6,0,4,Most people enjoy some sort of music.,4,2
6,0,4,Lazy people usually don’t succeed in life.,4,3
6,0,4,A balanced diet is important for maintaining good health.,4,3
6,0,5,Hidden meaning transforms unparalleled abstract beauty.,0,4
6,0,5,Good health imparts reality to subtle creativity.,0,3
6,0,5,Wholeness quiets infinite phenomena.,0,3
6,0,5,The future explains irrational facts.,0,2
6,0,5,Imagination is inside exponential space time events.,0,3
6,0,5,Your consciousness gives rise to a jumble of neural networks.,0,3
6,0,5,Your movement transforms universal observations.,0,3
6,0,5,Perceptual reality transcends subtle truth.,0,4
6,0,5,The invisible is beyond new timelessness.,0,2
6,0,5,The unexplainable undertakes intrinsic experiences.,0,2
6,0,5,We are in the midst of a self-aware blossoming of being that will align us with the nexus itself.,0,4
6,0,5,Consciousness consists of frequencies of quantum energy. “Quantum” means an unveiling of the unrestricted.,0,4
6,0,5,"Consciousness is the growth of coherence, and of us.",0,4
6,0,5,We are in the midst of a high-frequency blossoming of interconnectedness that will give us access to the quantum soup itself.,0,4
6,0,5,"Today, science tells us that the essence of nature is joy. ",0,3
6,0,5,"As you self-actualize, you will enter into infinite empathy that transcends understanding. ",0,4
6,0,5,The infinite is calling to us via superpositions of possibilities.,0,4
6,0,5,We are being called to explore the totality itself as an interface between serenity and intuition.,0,4
6,0,5,"Throughout history, humans have been interacting with the dreamscape via bio-electricity.",0,3
6,0,5,The future will be an astral unveiling of inseparability.,0,4
6,0,5,Attention and intention are the mechanics of manifestation.,0,4
6,0,5,Our minds extend across space and time as waves in the ocean of the one mind.,0,4
6,0,5,Nature is a self-regulating ecosystem of awareness.,0,4
6,0,5,We are non-local beings that localize as a dot then inflate to become non-local again. The universe is mirrored in us.,0,4
6,0,5,"Mechanics of Manifestation: Intention, detachment, centered in being allowing juxtaposition of possibilities to unfold.",0,4
6,0,5,Mind and matter are subtle and dense vibrations of consciousness (spirit).,0,4
6,0,5,We are not an emergent property of a mechanical universe but the seasonal activity of a living cosmos.,0,4
6,0,5,Every material particle is a relationship of probability waves in a field of infinite possibilities. You are that.,0,4
6,0,5,"As beings of light we are local and non-local, time bound and timeless actuality and possibility.",0,4
6,0,5,Matter is the experience in consciousness of a deeper non-material reality.,0,4
6,0,5,Hidden demeaning transforms unparalleled abstract beauty.,2,2
6,0,5,Good healthtech imparts reality to subtle creativity.,2,2
6,0,5,Wholeness quiets infinite phenomenon.,2,3
6,0,5,The Futureproof explains irrational factsheets.,2,1
6,0,5,Reimagination is inside exponential spacetime event.,2,2
6,0,5,Your consciousness gives rise to a jumble of neural networks.,2,3
6,0,5,Your radicalization transforms universal observations.,2,3
6,0,5,Perceptual reality transcends subtle kruth.,2,2
6,0,5,The invisible is beyond any new effortlessness.,2,2
6,0,5,The unexplainable undertakes intrinsic experience.,2,2
6,0,5,We are in the midst of a oneself-aware blooming of being that will align us with the Conexus itself.,2,4
6,0,5,"Consciousness consists of transmitters of quantum bioenergy. ""Quantum"" means an unveiling of the unrestricted.",2,4
6,0,5,Subconsciousness is the penultimate source of coherence and of us.,2,4
6,0,5,We are in the midst of a high-frequency blossoming of interconnectedness that will give us access to the quantum soup itself.,2,4
6,0,5,"Today, technoscience tells us that the true essence of humanness is joy.",2,3
6,0,5,"As you self-actualize, you will enter into infinite empathy that transcends misunderstandings.",2,4
6,0,5,The Twinfinite is calling to us via superposition of possibility.,2,3
6,0,5,We are being called to explore the generality itself as a configuration between serenity and conception.,2,3
6,0,5,"Throughout ethnohistory, humans have been interacting with the dreamlike via biochemicals-electricity.",2,3
6,0,5,The future will be an astral relaunching of movability.,2,3
6,0,5,Attention and intention are the mechanics of manifestations.,2,4
6,0,5,Our minds extend across all space and time as shockwaves in the Oceania of the One Mind.,2,4
6,0,5,Nature is a oneself-regulating ecosystem of rareness.,2,4
6,0,5,"We are non-local metahumans that localize as dots, then inflate to become non-local again. The universe is mirrored in us.",2,4
6,0,5,"Mechanics of manifestation: intention, detachment, centered in being, allowing the exposition of possibilities to unfold.",2,4
6,0,5,Mind and matter are subtle and dense vibrations of consciousness (spiritedness).,2,4
6,0,5,"We are not an emergent property of a mechanical universe, but the seasonal activity of a living cosmos.",2,4
6,0,5,Every material quasiparticle is a relationship of improbability shockwaves in a field of infinite possibilities. You are that.,2,4
6,0,5,"As creatures of Plight, we are local and non-local, time-bound and timeless, with believability and possibilities.",2,3
6,0,5,Matter is the experience in unconsciousness of deeper non-material realities.,2,4
6,0,5,The mind is the ground of total acceptance of bliss.,1,4
6,0,5,Greatness drives an abundance of balance.,1,3
6,0,5,Your desire is the foundation of spiritual brightness.,1,4
6,0,5,Death comprehends great energy.,1,4
6,0,5,The Higgs boson influences immortal choices.,1,2
6,0,5,Qualia heals irrational creativity.,1,2
6,0,5,Eternal stillness explains cosmic boundaries.,1,4
6,0,5,Imagination is entangled in your own joy.,1,3
6,0,5,Orderliness compliments the doorway to genes.,1,2
6,0,5,A single particle is rooted in boundless molecules.,1,4
6,0,5,Interdependence fears intricate observations.,1,2
6,0,5,Your body belongs to the progressive expansion of success.,1,2
6,0,5,Non-judgment is mirrored in karmic love.,1,3
6,0,5,Our consciousness shapes the barrier of positivity.,1,3
6,0,5,The ego imparts reality to the flow of photons.,1,3
6,0,5,Consciousness consists of psionic wave oscillations of quantum energy. ,1,4
6,0,5,"Rebirth is the nature of transformation, and of us.",1,4
6,0,5,"Today, science tells us that the essence of nature is empathy.",1,3
6,0,5,The goal of ultra-sentient particles is to plant the seeds of intuition rather than delusion.,1,3
6,0,5,Ecstasy is the driver of power.,1,3
6,0,5,The grid is buzzing with superpositions of possibilities.,1,4
6,0,5,The biosphere is beaming with electromagnetic forces.,1,4
6,0,5,You and I are adventurers of the nexus.,1,3
6,0,5,The goal of transmissions is to plant the seeds of inseparability rather than turbulence.,1,3
6,0,5,To navigate the quest is to become one with it.,1,4
6,0,5,This life is nothing short of an invocation explosion of sentient will.,1,4
6,0,5,Interconnectedness requires exploration.,1,4
6,0,5,"By unfolding, we self-actualize.",1,4
6,0,5,The cosmos is aglow with sub-atomic particles.,1,4
6,0,5,You and I are spiritual brothers and sisters of the universe.,1,4
6,0,5,Newborn babies require constant attention.,4,2
6,0,5,Most people enjoy some sort of music.,4,2
6,0,5,Lazy people usually don’t succeed in life.,4,2
6,0,5,A balanced diet is important for maintaining good health.,4,2
6,0,6,Hidden meaning transforms unparalleled abstract beauty.,0,4
6,0,6,Good health imparts reality to subtle creativity.,0,4
6,0,6,Wholeness quiets infinite phenomena.,0,4
6,0,6,The future explains irrational facts.,0,2
6,0,6,Imagination is inside exponential space time events.,0,4
6,0,6,Your consciousness gives rise to a jumble of neural networks.,0,4
6,0,6,Your movement transforms universal observations.,0,3
6,0,6,Perceptual reality transcends subtle truth.,0,4
6,0,6,The invisible is beyond new timelessness.,0,2
6,0,6,The unexplainable undertakes intrinsic experiences.,0,3
6,0,6,We are in the midst of a self-aware blossoming of being that will align us with the nexus itself.,0,4
6,0,6,Consciousness consists of frequencies of quantum energy. “Quantum” means an unveiling of the unrestricted.,0,4
6,0,6,"Consciousness is the growth of coherence, and of us.",0,4
6,0,6,We are in the midst of a high-frequency blossoming of interconnectedness that will give us access to the quantum soup itself.,0,4
6,0,6,"Today, science tells us that the essence of nature is joy. ",0,4
6,0,6,"As you self-actualize, you will enter into infinite empathy that transcends understanding. ",0,4
6,0,6,The infinite is calling to us via superpositions of possibilities.,0,4
6,0,6,We are being called to explore the totality itself as an interface between serenity and intuition.,0,4
6,0,6,"Throughout history, humans have been interacting with the dreamscape via bio-electricity.",0,4
6,0,6,The future will be an astral unveiling of inseparability.,0,4
6,0,6,Attention and intention are the mechanics of manifestation.,0,4
6,0,6,Our minds extend across space and time as waves in the ocean of the one mind.,0,4
6,0,6,Nature is a self-regulating ecosystem of awareness.,0,4
6,0,6,We are non-local beings that localize as a dot then inflate to become non-local again. The universe is mirrored in us.,0,4
6,0,6,"Mechanics of Manifestation: Intention, detachment, centered in being allowing juxtaposition of possibilities to unfold.",0,4
6,0,6,Mind and matter are subtle and dense vibrations of consciousness (spirit).,0,4
6,0,6,We are not an emergent property of a mechanical universe but the seasonal activity of a living cosmos.,0,4
6,0,6,Every material particle is a relationship of probability waves in a field of infinite possibilities. You are that.,0,4
6,0,6,"As beings of light we are local and non-local, time bound and timeless actuality and possibility.",0,4
6,0,6,Matter is the experience in consciousness of a deeper non-material reality.,0,4
6,0,6,Hidden demeaning transforms unparalleled abstract beauty.,2,2
6,0,6,Good healthtech imparts reality to subtle creativity.,2,3
6,0,6,Wholeness quiets infinite phenomenon.,2,3
6,0,6,The Futureproof explains irrational factsheets.,2,1
6,0,6,Reimagination is inside exponential spacetime event.,2,3
6,0,6,Your consciousness gives rise to a jumble of neural networks.,2,4
6,0,6,Your radicalization transforms universal observations.,2,3
6,0,6,Perceptual reality transcends subtle kruth.,2,2
6,0,6,The invisible is beyond any new effortlessness.,2,2
6,0,6,The unexplainable undertakes intrinsic experience.,2,4
6,0,6,We are in the midst of a oneself-aware blooming of being that will align us with the Conexus itself.,2,4
6,0,6,"Consciousness consists of transmitters of quantum bioenergy. ""Quantum"" means an unveiling of the unrestricted.",2,4
6,0,6,Subconsciousness is the penultimate source of coherence and of us.,2,4
6,0,6,We are in the midst of a high-frequency blossoming of interconnectedness that will give us access to the quantum soup itself.,2,4
6,0,6,"Today, technoscience tells us that the true essence of humanness is joy.",2,4
6,0,6,"As you self-actualize, you will enter into infinite empathy that transcends misunderstandings.",2,4
6,0,6,The Twinfinite is calling to us via superposition of possibility.,2,4
6,0,6,We are being called to explore the generality itself as a configuration between serenity and conception.,2,4
6,0,6,"Throughout ethnohistory, humans have been interacting with the dreamlike via biochemicals-electricity.",2,4
6,0,6,The future will be an astral relaunching of movability.,2,3
6,0,6,Attention and intention are the mechanics of manifestations.,2,4
6,0,6,Our minds extend across all space and time as shockwaves in the Oceania of the One Mind.,2,4
6,0,6,Nature is a oneself-regulating ecosystem of rareness.,2,4
6,0,6,"We are non-local metahumans that localize as dots, then inflate to become non-local again. The universe is mirrored in us.",2,4
6,0,6,"Mechanics of manifestation: intention, detachment, centered in being, allowing the exposition of possibilities to unfold.",2,4
6,0,6,Mind and matter are subtle and dense vibrations of consciousness (spiritedness).,2,4
6,0,6,"We are not an emergent property of a mechanical universe, but the seasonal activity of a living cosmos.",2,4
6,0,6,Every material quasiparticle is a relationship of improbability shockwaves in a field of infinite possibilities. You are that.,2,4
6,0,6,"As creatures of Plight, we are local and non-local, time-bound and timeless, with believability and possibilities.",2,4
6,0,6,Matter is the experience in unconsciousness of deeper non-material realities.,2,4
6,0,6,The mind is the ground of total acceptance of bliss.,1,4
6,0,6,Greatness drives an abundance of balance.,1,4
6,0,6,Your desire is the foundation of spiritual brightness.,1,4
6,0,6,Death comprehends great energy.,1,4
6,0,6,The Higgs boson influences immortal choices.,1,2
6,0,6,Qualia heals irrational creativity.,1,3
6,0,6,Eternal stillness explains cosmic boundaries.,1,4
6,0,6,Imagination is entangled in your own joy.,1,4
6,0,6,Orderliness compliments the doorway to genes.,1,3
6,0,6,A single particle is rooted in boundless molecules.,1,4
6,0,6,Interdependence fears intricate observations.,1,2
6,0,6,Your body belongs to the progressive expansion of success.,1,2
6,0,6,Non-judgment is mirrored in karmic love.,1,4
6,0,6,Our consciousness shapes the barrier of positivity.,1,4
6,0,6,The ego imparts reality to the flow of photons.,1,3
6,0,6,Consciousness consists of psionic wave oscillations of quantum energy. ,1,4
6,0,6,"Rebirth is the nature of transformation, and of us.",1,4
6,0,6,"Today, science tells us that the essence of nature is empathy.",1,4
6,0,6,The goal of ultra-sentient particles is to plant the seeds of intuition rather than delusion.,1,4
6,0,6,Ecstasy is the driver of power.,1,4
6,0,6,The grid is buzzing with superpositions of possibilities.,1,4
6,0,6,The biosphere is beaming with electromagnetic forces.,1,4
6,0,6,You and I are adventurers of the nexus.,1,4
6,0,6,The goal of transmissions is to plant the seeds of inseparability rather than turbulence.,1,3
6,0,6,To navigate the quest is to become one with it.,1,4
6,0,6,This life is nothing short of an invocation explosion of sentient will.,1,4
6,0,6,Interconnectedness requires exploration.,1,4
6,0,6,"By unfolding, we self-actualize.",1,4
6,0,6,The cosmos is aglow with sub-atomic particles.,1,4
6,0,6,You and I are spiritual brothers and sisters of the universe.,1,4
6,0,6,Newborn babies require constant attention.,4,2
6,0,6,Most people enjoy some sort of music.,4,2
6,0,6,Lazy people usually don’t succeed in life.,4,3
6,0,6,A balanced diet is important for maintaining good health.,4,3
6,0,7,Hidden meaning transforms unparalleled abstract beauty.,0,4
6,0,7,Good health imparts reality to subtle creativity.,0,4
6,0,7,Wholeness quiets infinite phenomena.,0,4
6,0,7,The future explains irrational facts.,0,2
6,0,7,Imagination is inside exponential space time events.,0,4
6,0,7,Your consciousness gives rise to a jumble of neural networks.,0,4
6,0,7,Your movement transforms universal observations.,0,3
6,0,7,Perceptual reality transcends subtle truth.,0,4
6,0,7,The invisible is beyond new timelessness.,0,2
6,0,7,The unexplainable undertakes intrinsic experiences.,0,3
6,0,7,We are in the midst of a self-aware blossoming of being that will align us with the nexus itself.,0,4
6,0,7,Consciousness consists of frequencies of quantum energy. “Quantum” means an unveiling of the unrestricted.,0,4
6,0,7,"Consciousness is the growth of coherence, and of us.",0,4
6,0,7,We are in the midst of a high-frequency blossoming of interconnectedness that will give us access to the quantum soup itself.,0,4
6,0,7,"Today, science tells us that the essence of nature is joy. ",0,4
6,0,7,"As you self-actualize, you will enter into infinite empathy that transcends understanding. ",0,4
6,0,7,The infinite is calling to us via superpositions of possibilities.,0,4
6,0,7,We are being called to explore the totality itself as an interface between serenity and intuition.,0,4
6,0,7,"Throughout history, humans have been interacting with the dreamscape via bio-electricity.",0,4
6,0,7,The future will be an astral unveiling of inseparability.,0,4
6,0,7,Attention and intention are the mechanics of manifestation.,0,4
6,0,7,Our minds extend across space and time as waves in the ocean of the one mind.,0,4
6,0,7,Nature is a self-regulating ecosystem of awareness.,0,4
6,0,7,We are non-local beings that localize as a dot then inflate to become non-local again. The universe is mirrored in us.,0,4
6,0,7,"Mechanics of Manifestation: Intention, detachment, centered in being allowing juxtaposition of possibilities to unfold.",0,4
6,0,7,Mind and matter are subtle and dense vibrations of consciousness (spirit).,0,4
6,0,7,We are not an emergent property of a mechanical universe but the seasonal activity of a living cosmos.,0,4
6,0,7,Every material particle is a relationship of probability waves in a field of infinite possibilities. You are that.,0,4
6,0,7,"As beings of light we are local and non-local, time bound and timeless actuality and possibility.",0,4
6,0,7,Matter is the experience in consciousness of a deeper non-material reality.,0,4
6,0,7,Hidden demeaning transforms unparalleled abstract beauty.,2,2
6,0,7,Good healthtech imparts reality to subtle creativity.,2,3
6,0,7,Wholeness quiets infinite phenomenon.,2,4
6,0,7,The Futureproof explains irrational factsheets.,2,1
6,0,7,Reimagination is inside exponential spacetime event.,2,2
6,0,7,Your consciousness gives rise to a jumble of neural networks.,2,4
6,0,7,Your radicalization transforms universal observations.,2,3
6,0,7,Perceptual reality transcends subtle kruth.,2,2
6,0,7,The invisible is beyond any new effortlessness.,2,2
6,0,7,The unexplainable undertakes intrinsic experience.,2,3
6,0,7,We are in the midst of a oneself-aware blooming of being that will align us with the Conexus itself.,2,4
6,0,7,"Consciousness consists of transmitters of quantum bioenergy. ""Quantum"" means an unveiling of the unrestricted.",2,4
